,timestamp,week,date,year,month,day,a_day,time,hour,minute,customer_no,customer_ID,location,next_loc
0,2019-09-02 07:03:00,36,2019-09-02,2019,9,2,Mon,07:03:00,7,3,1,1_Mon,dairy,checkout
1,2019-09-02 07:03:00,36,2019-09-02,2019,9,2,Mon,07:03:00,7,3,2,2_Mon,dairy,checkout
2,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,3,3_Mon,dairy,checkout
3,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,4,4_Mon,dairy,checkout
4,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,5,5_Mon,spices,checkout
5,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,6,6_Mon,spices,dairy
6,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,7,7_Mon,spices,drinks
7,2019-09-02 07:04:00,36,2019-09-02,2019,9,2,Mon,07:04:00,7,4,8,8_Mon,fruit,checkout
8,2019-09-02 07:05:00,36,2019-09-02,2019,9,2,Mon,07:05:00,7,5,1,1_Mon,checkout,checkout
9,2019-09-02 07:05:00,36,2019-09-02,2019,9,2,Mon,07:05:00,7,5,5,5_Mon,checkout,checkout
10,2019-09-02 07:05:00,36,2019-09-02,2019,9,2,Mon,07:05:00,7,5,6,6_Mon,dairy,spices
11,2019-09-02 07:05:00,36,2019-09-02,2019,9,2,Mon,07:05:00,7,5,7,7_Mon,drinks,spices
12,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,14,14_Mon,fruit,checkout
13,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,13,13_Mon,dairy,spices
14,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,12,12_Mon,spices,drinks
15,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,3,3_Mon,checkout,checkout
16,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,10,10_Mon,fruit,checkout
17,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,2,2_Mon,checkout,checkout
18,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,11,11_Mon,drinks,checkout
19,2019-09-02 07:06:00,36,2019-09-02,2019,9,2,Mon,07:06:00,7,6,9,9_Mon,dairy,fruit
20,2019-09-02 07:07:00,36,2019-09-02,2019,9,2,Mon,07:07:00,7,7,8,8_Mon,checkout,checkout
